Seriation_Number	Assemblage	881589-4513968-3	1-0-2	4315391-0-2206046	7615189-0-6811310	7615189-0-9563078	2-3-3	7615189-0-7275111	9057381-0-2	0-1-3338980	7615189-0-2092291	1-0-7158894	0-1-1	1240861-0-4	7615189-0-6819182	9314646-0-2206046	7937917-3-3	3-0-9895268	7615189-8070950-2	7615189-0-8193879	985399-0-2	3-0-1480425	2-4513968-6745780	5078583-4513968-7979611	2-4513968-3	7943172-4-0	8702025-4513968-3	2-9750565-0	3-8462156-2	5078583-4513968-3	2-4-0	2-0-2	3-0-4	3-0-2	6998671-0-2	3855138-0-2	3-315570-2206046	8574910-4-0	7615189-8459788-2092291	2-4513968-964361	5609878-0-2	1872509-0-2206046	7615189-0-2	1815904-0-2	7615189-0-4515941	5513537-0-9563078	3787830-0-2206046	3-0-2206046	5407640-3-3	7615189-0-7397176
123	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
123	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

124	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
124	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
124	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

125	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
125	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
125	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

126	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
126	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
126	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

127	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
127	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
127	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

128	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
128	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
128	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

129	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
129	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
129	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

130	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
130	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
130	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

131	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
131	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
131	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

132	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
132	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
132	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

133	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
133	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
133	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

134	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
134	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
134	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

135	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
135	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
135	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

136	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
136	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
136	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

137	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
137	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
137	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

138	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
138	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
138	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

139	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
139	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
139	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

140	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
140	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
140	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25

141	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
141	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
141	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

142	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
142	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
142	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15

143	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
143	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
143	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

144	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
144	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
144	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

145	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
145	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
145	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

146	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
146	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
146	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

147	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
147	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
147	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25

148	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
148	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
148	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

149	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
149	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
149	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16

150	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
150	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
150	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15

151	assemblage-123-800	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	164	108	0	0	0	0	0	0	0	0	0	138	10	0	0	0	0	0	8
151	assemblage-953-953	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	9	209	0	0	0	0	104	0	8
151	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13

