Seriation_Number	Assemblage	1-4-8239243	5931536-4-4505058	1-3035471-5841443	1-5861909-1	5931536-9574900-396840	8465461-4-176003	5931536-4-2470574	1-3797357-1	1-2-4035027	4-715804-1066806	5931536-4832274-6036696	705687-4-6036696	1-2748231-5841443	1-7949899-1	1-4122071-8648397	9684592-4-6950951	1-5216555-5841443	1-9448335-1	1-4-1318509	8465461-4-6036696	1-5861909-2074651	5931536-4-9572078	0-2-3	0-2-0	1-4-1416905	1-4-5268080	5931536-4-396840	1-2-3678993	1-4-5841443	1-2748231-5519909	5931536-4-6036696	1589208-2-1	1-4-6036696	1-932782-8258013	1-2-425531	9135960-4-396840	8465461-4-2095973	9993621-4-979332	3391184-1050396-1	4-715804-0	1-1-8648397	1-8757339-5841443	722524-4-2095973	3391184-932782-1	1-6465861-1	1-932782-1	5236835-4-5841443	2491213-4-9572078	1-2-3	1-2-1	1-4-3	9135960-4-5085002	1-1783617-1	5931536-4832274-3295004	5931536-4-6950951	1-4-9795382	8241856-4-5841443	9135960-6416912-396840	9993621-4-1318509	722524-4-7840625	1024948-4-6036696	6357641-4-9572078	1-4-3784862
26	assemblage-540-275	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	31	0	169	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	11
26	assemblage-886-386	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8

27	assemblage-534-699	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	47	0	114	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	1
27	assemblage-374-948	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	39	0	192	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	15
27	assemblage-539-268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	80	0	91	0	0	0	0	0	0	0	11

28	assemblage-534-699	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	47	0	114	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	1
28	assemblage-549-299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	57	0	0	0	0	0	0	0	10
28	assemblage-539-268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	80	0	91	0	0	0	0	0	0	0	11

29	assemblage-534-699	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	47	0	114	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	1
