Assemblage_Name	8335013-1-0	3453763-3-0	1-1-3	244954-1790219-0	1-1-9580549	7466407-3-0	4043241-1-3	8509183-3-0	6137884-1925400-7620978	2-3-2916265	9559566-3-8615097	3874361-1-0	2-3-0	6137884-1925400-0	8509183-3-5625155	8509183-6859121-0	1-1-8156013	244954-1-4291668	8509183-3-9916604	8509183-3-5527046	4979285-1-0	2-2565375-0	2586118-1-0	9252309-3-0	5794491-1-0	1253496-3-9083220	1004334-3-1	8509183-7675412-0	1004334-8282554-1	8509183-3-7426681	3-1-0	1004334-3-5716094	2-3-4198063	244954-1-8779862	3-1-4107729	2-3-372323	7290581-1-4291668	9559566-3-1	1-3-1	7049383-1-0	8509183-6764328-0	3-1-5529488	244954-1-3129683	3-7287132-0	8509183-3-312824	244954-1-7523233	4557245-1-3	244954-1-8910299	3874361-1-1916666	1602610-3-0	1-4-1	8509183-8779128-0	3-1-1165327	9958873-3-0	7339317-3-0	244954-5022494-0	3453763-4100902-0	8509183-3-1101790	244954-1-5580541	6137884-1-0	9559566-3-2899350	244954-1-0	244954-1-2540248	8509183-8297932-0	1275886-1-0	1004334-3-9083220	244954-1-7184003	1275886-6763859-0	8509183-3-8563917
assemblage-270-241	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	58	0	0	0	0	0	0	11
assemblage-118-355	0	118	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	176	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	101	0	0	0	0	0	0	22	0	0	0	0	5	0	0	0	0	0	0	5
assemblage-983-1003	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-357-616	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	214	0	0	194	0	0	5	11
assemblage-349-757	0	0	0	0	0	14	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	129	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	27
assemblage-527-463	0	0	410	0	37	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-665-898	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	216	0	0	211	0	0	4	12
assemblage-347-771	13	0	10	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	17
assemblage-284-931	0	0	0	0	0	0	0	97	0	0	0	0	0	0	13	0	0	0	0	0	79	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	19
assemblage-131-377	0	121	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	9	0	0	0	0	12	0	0	0	0	0	0	11
