Seriation_Number	Assemblage	9206941-3-3	4-3-105134	1-4-1	4-3-4795229	9854492-3-3	6519756-3-3	4-3-4403792	4-8928835-3	4-3-9207387	4-3-6791655	4-6994778-3	2-0-0	4-5028517-3	4-9457514-3	3-0-1	4-3-3	120735-3-3	4-3-3002218	4-814287-3	4-764176-3	4-436393-3	4-3-3584659
83	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0

84	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
84	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
84	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0

85	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
85	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
85	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0

