Seriation_Number	Assemblage	3318828-2-3	2-3-6474420	1-0-914422	8693380-2-3	3318828-2-5808271	1-4-3	4-2-8389256	4-470149-3	3665082-4-3	4-4292401-3	4-2-3484843	2-3-2	3302203-0-1	4386232-0-1	4-2-3	4-628824-3	4-1368459-3	4-2-9869042	4-2-8984353	4-2-264212	802587-2-3	7548539-2-3	2-3-7238936	4-2-5493240	4-8545448-3	4-2-9846663	1-7212836-1	1-0-1	4-2-5638742	8413843-0-1	4-2-6500803	1-0-6352498	4-8362641-3	1-0-3589769	3-3-3	6300482-3-2	2-2-2	3318828-2-4199722	9234448-2-3	8338975-2-3	4-9228495-3	221391-2-0	1-416256-1	2121620-0-1	1-0-4475178	4-1839359-3	4-2-2158312	4-2-4428463	3609397-2-3	2327227-2-3	6291289-3-2	1-0-1610131	4-6073046-3	4-360466-3	5805693-2-3	3318828-2-9973132	4-2-9145723	5790006-0-1	1-0-4267618	199203-2-3	1-0-506455	4-2-3541656	2-3-6304873	4-2-8110419	1-7052987-1	1-0-1340909	9823119-2-3	4-5007307-3	9212283-2-3	1375291-3-2	2-3-1408674	9712432-2-3	1048810-2-3	4-2-3295388	4-5331884-3	1-5288800-1	1-2-0	4-3637395-3	4-1909257-3	9300109-2-3	5428606-0-1	2-8142437-2	4-1964765-3	1689249-4-3	4-8626992-3	1-5513781-1
23	assemblage-39-44	0	0	0	0	0	2	0	0	0	0	0	4498	0	0	19408	0	0	0	0	0	0	0	0	0	0	0	0	20282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

24	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	assemblage-66-2	32638	0	0	0	0	0	0	0	0	0	0	0	0	0	10801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	assemblage-33-69	0	0	0	0	0	6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0

25	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	assemblage-68-49	0	0	0	0	0	0	0	0	0	0	0	2254	0	10	74848	0	0	0	2	0	0	0	0	9	0	0	0	16619	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	assemblage-33-69	0	0	0	0	0	6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0

26	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	assemblage-68-49	0	0	0	0	0	0	0	0	0	0	0	2254	0	10	74848	0	0	0	2	0	0	0	0	9	0	0	0	16619	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	assemblage-39-44	0	0	0	0	0	2	0	0	0	0	0	4498	0	0	19408	0	0	0	0	0	0	0	0	0	0	0	0	20282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

27	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	assemblage-25-74	5	0	0	0	0	0	0	0	0	0	0	0	0	0	40856	0	0	0	0	0	0	0	0	0	0	0	0	1679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	assemblage-33-69	0	0	0	0	0	6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0

28	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	assemblage-25-74	5	0	0	0	0	0	0	0	0	0	0	0	0	0	40856	0	0	0	0	0	0	0	0	0	0	0	0	1679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	assemblage-39-44	0	0	0	0	0	2	0	0	0	0	0	4498	0	0	19408	0	0	0	0	0	0	0	0	0	0	0	0	20282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

29	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	assemblage-25-74	5	0	0	0	0	0	0	0	0	0	0	0	0	0	40856	0	0	0	0	0	0	0	0	0	0	0	0	1679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	assemblage-68-49	0	0	0	0	0	0	0	0	0	0	0	2254	0	10	74848	0	0	0	2	0	0	0	0	9	0	0	0	16619	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

30	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
30	assemblage-39-44	0	0	0	0	0	2	0	0	0	0	0	4498	0	0	19408	0	0	0	0	0	0	0	0	0	0	0	0	20282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	assemblage-33-69	0	0	0	0	0	6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0

31	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
31	assemblage-25-2	97	0	0	0	0	0	0	0	0	0	0	0	0	0	42413	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	assemblage-33-69	0	0	0	0	0	6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0

32	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
32	assemblage-25-2	97	0	0	0	0	0	0	0	0	0	0	0	0	0	42413	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	assemblage-39-44	0	0	0	0	0	2	0	0	0	0	0	4498	0	0	19408	0	0	0	0	0	0	0	0	0	0	0	0	20282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

33	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
33	assemblage-66-2	32638	0	0	0	0	0	0	0	0	0	0	0	0	0	10801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	assemblage-33-69	0	0	0	0	0	6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0

34	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
34	assemblage-68-49	0	0	0	0	0	0	0	0	0	0	0	2254	0	10	74848	0	0	0	2	0	0	0	0	9	0	0	0	16619	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	assemblage-33-69	0	0	0	0	0	6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0

35	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
35	assemblage-68-49	0	0	0	0	0	0	0	0	0	0	0	2254	0	10	74848	0	0	0	2	0	0	0	0	9	0	0	0	16619	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	assemblage-39-44	0	0	0	0	0	2	0	0	0	0	0	4498	0	0	19408	0	0	0	0	0	0	0	0	0	0	0	0	20282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

36	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
36	assemblage-25-74	5	0	0	0	0	0	0	0	0	0	0	0	0	0	40856	0	0	0	0	0	0	0	0	0	0	0	0	1679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	assemblage-33-69	0	0	0	0	0	6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0

37	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
37	assemblage-25-74	5	0	0	0	0	0	0	0	0	0	0	0	0	0	40856	0	0	0	0	0	0	0	0	0	0	0	0	1679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	assemblage-39-44	0	0	0	0	0	2	0	0	0	0	0	4498	0	0	19408	0	0	0	0	0	0	0	0	0	0	0	0	20282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

38	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
38	assemblage-25-74	5	0	0	0	0	0	0	0	0	0	0	0	0	0	40856	0	0	0	0	0	0	0	0	0	0	0	0	1679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	assemblage-68-49	0	0	0	0	0	0	0	0	0	0	0	2254	0	10	74848	0	0	0	2	0	0	0	0	9	0	0	0	16619	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

39	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
39	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	assemblage-61-65	113	0	0	0	0	0	0	0	0	0	0	0	0	0	40458	0	0	0	0	0	0	0	0	0	0	0	0	1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

40	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
40	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	assemblage-33-69	0	0	0	0	0	6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0

41	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
41	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	assemblage-39-44	0	0	0	0	0	2	0	0	0	0	0	4498	0	0	19408	0	0	0	0	0	0	0	0	0	0	0	0	20282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

42	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
42	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	assemblage-25-2	97	0	0	0	0	0	0	0	0	0	0	0	0	0	42413	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

43	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
43	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	assemblage-68-49	0	0	0	0	0	0	0	0	0	0	0	2254	0	10	74848	0	0	0	2	0	0	0	0	9	0	0	0	16619	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

44	assemblage-32-21	22541	0	0	665	2	0	0	0	0	0	0	0	0	0	20224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
44	assemblage-10-51	21610	0	0	0	0	0	0	0	0	0	0	0	0	0	64346	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	assemblage-25-74	5	0	0	0	0	0	0	0	0	0	0	0	0	0	40856	0	0	0	0	0	0	0	0	0	0	0	0	1679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

45	assemblage-21-17	0	0	0	0	0	0	9	0	0	0	0	667	0	0	30100	0	0	0	0	0	0	0	0	0	0	0	0	13406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	assemblage-61-65	113	0	0	0	0	0	0	0	0	0	0	0	0	0	40458	0	0	0	0	0	0	0	0	0	0	0	0	1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	assemblage-37-15	25761	0	0	0	0	0	0	0	0	0	0	0	0	0	17544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

46	assemblage-21-17	0	0	0	0	0	0	9	0	0	0	0	667	0	0	30100	0	0	0	0	0	0	0	0	0	0	0	0	13406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	assemblage-39-44	0	0	0	0	0	2	0	0	0	0	0	4498	0	0	19408	0	0	0	0	0	0	0	0	0	0	0	0	20282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	assemblage-37-15	25761	0	0	0	0	0	0	0	0	0	0	0	0	0	17544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

47	assemblage-21-17	0	0	0	0	0	0	9	0	0	0	0	667	0	0	30100	0	0	0	0	0	0	0	0	0	0	0	0	13406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
