Seriation_Number	Assemblage	6714365-5552225-1630962	6284580-6288965-968258	2674015-1458609-4255950	2674015-1458609-9194061	1075186-8244415-8209225	1435029-2901133-1862031	1435029-8510694-6705499	6284580-2784821-968258	4632056-9495564-3249937	3798738-9761628-4	9080098-8510694-1810130	4216694-7453354-2277099	1254742-8061681-5022862	897854-1280784-8183163	6714365-4667641-1630962	0-7274183-743309	1096742-8510694-5281302	8545431-2344062-2752298	5451496-108676-0	2885582-8061681-5022862	4039404-2399767-1326531	6714365-5485759-3523937	9201423-3091772-968258	304687-9495564-4	4216694-7453354-1326531	676139-9705592-9489822	6714365-8359684-5501290	5094400-61783-968258	897854-7538321-6704044	822372-2051781-6998979	6284580-7868457-326636	2840663-6609092-4	356868-2169865-7243616	7492605-2169865-5089266	4806690-487922-1630962	2208879-3649985-329704	2460742-2989338-2668732	4632056-6797803-3249937	4632056-6028945-2187039	4632056-7136363-4	1191006-8597669-2392963	2234526-2601615-9320653	6171553-6288965-5362108	2501360-7666931-2626365	1075186-7587562-3555815	6714365-985534-1630962	5522845-1072182-2336231	0-1-743309	9201423-2057418-968258	4172841-8597669-2392963	6026149-9939573-9489822	2054857-1008714-3659469	8545431-6288965-8181804	4849662-9705592-9489822	6714365-5702928-6272954	9419931-6663335-9681654	4632056-6028945-3249937	4379778-4524451-4	6155332-1008714-9681654	7492605-7134494-9790406	315950-1083744-2871817	3-4669784-0	2623613-3387138-2302204	3-4669784-9320653	6535365-8510694-5501290	9033944-2563175-9876724	1435029-9886088-7900938	5901237-2907878-7017921	897854-1072182-1850329	9911466-2870130-1726396	7584554-2169865-1592390	2852000-2907878-4246869	1293524-8510694-4457769	7492605-7134494-5089266	1191006-9705592-9489822	1075186-1338531-8209225	5250781-1458609-9194061	2840663-5069364-4	8545431-6288965-3538223	5522845-6717418-2336231	7597801-4667641-1093752	2674015-1576037-4255950	0-9010327-743309	5522845-7507663-2336231	8545431-6288965-4255950	1435029-8510694-3422721	6714365-2870130-1630962	6714365-5116473-6991247	5648602-6288965-4276163	9201423-6318249-9681654	7624253-1008714-9681654	6714365-3887522-6272954	2054857-3858565-9681654	3739334-2870130-1630962	4216694-2399767-1326531	6662071-2907878-7017921	1406646-2169865-7243616	5556804-1008714-9681654	6714365-9705592-3523937	1251041-2907878-3501673	0-7241362-600425	6114410-8510694-4457769	4632056-3967489-1324284	8685686-8061681-5022862	3823376-5967491-1726396	2054857-6543400-9681654	2852000-2009771-4246869	9767434-9705592-1630962	4-1083744-2871817	0-5151982-2742650	4981799-1942379-8587539	6284580-2052029-2871817	6284580-2052029-9809405	4984498-1942379-8587539	0-5151982-600425	4532714-6028945-8865003	1075186-2184460-2743003	6284580-469504-968258	2840663-2989338-9199042	9080445-487922-5141763	897854-4659321-1630962	1220271-650835-9681654	4632056-3204575-3249937	8441189-8808262-9319932	6714365-4892285-6272954	7597801-4667641-1630962	9613976-4524451-4	1421052-4524451-1606523	2674015-6288965-8920123	1254742-8061681-352324	8100385-8061681-5022862	4632056-9495564-8299767	2230103-2169865-7243616	9357145-8938703-6794781	4873799-2601615-9320653	1199112-4524451-4	2696826-108676-1164631	5095319-4659321-1630962	897854-4326495-2530350	8545431-6288965-4382645	3-4669784-2184338	4379778-4524451-4668108	4823992-2052029-9809405	4532714-2169865-5089266	2280235-6663335-9681654	9541450-9705592-9489822	8545431-3604980-968258	4984498-2907878-7017921	6714365-8510694-1630962	4632056-9495564-726073	2840663-4524451-1606523	2854852-103108-42695	4268422-1008714-968258	2674015-6288965-4276163	7492605-7024882-5089266	4984498-2907878-5012602	3835215-8061681-2699336	4632056-3120040-3249937	1435029-8510694-5393738	1519245-4524451-4	3005387-8938703-6794781	8308037-2989338-2668732	2455021-1205361-9079938	2883188-487922-1630962	4216694-3828237-2277099	897854-1840495-1606491	5292178-128457-4310700	4-3966287-3342287	8545431-5488238-4310700	2250940-9047755-9681654	2495713-4659321-731646	7324504-8061681-5022862	897854-1072182-6704044	9033944-7201955-9876724	5522845-1072182-4622621	4532714-5090475-7243616	4-996851-4	2208879-7024882-5089266	6026149-1282089-9489822	9201423-380550-9681654	8545431-6288965-3776078	2822182-6028945-3249937	822372-8440626-6998979	1-4524451-4	9330503-4-0	4632056-9495564-4	4984498-1942379-7017921	8546275-8510694-7900938	1435029-4678312-7900938	6026149-9705592-9489822	1075186-2907878-8209225	2055296-7453354-5089266	4-1942379-4	897854-3050740-1630962	4849662-191028-3706872	9201423-1008714-9681654	0-4040035-600425	3095423-265574-4310700	2840663-296019-4521444	2840663-7666931-2626365	4347843-191028-9489822	3095423-128457-4310700	4849662-191028-9489822	24071-128457-4310700	4532714-2169865-8865003	2852000-2907878-7017921	5454064-1338531-2972021	9570913-2870130-1630962	4806690-487922-1573534	8546275-2457258-7900938	6714365-9705592-9944258	3005387-8938703-2699336	4632056-6028945-1921847	4034896-1942379-7833237	2840663-3784577-4	3465876-7507663-2336231	1220271-5264595-4650777	8545431-2662708-2752298	4228790-8510694-7900938	29197-7868457-968258	3095423-128457-3129697	2370009-8510694-5501290	6714365-8510694-2079617	2311835-9495564-3249937	4402899-487922-1630962	9344846-8510694-7900938	4-5074240-3342287	9201423-6288965-968258	1-6455090-1163694	1435029-8510694-1810130	897854-7607298-1630962	2543871-5260751-9681654	393391-7945483-8299767	4-1942379-3342287	3005387-8938703-9350804	6662071-3106738-7017921	3798738-2989338-4	0-5187419-7128160	3757076-2169865-5233131	3835215-8061681-6090339	2674015-6288965-4255950	2696826-6360152-2017481	6517144-1072182-797775	9726283-108676-6998979	8687366-1072182-2359561	5088488-8244415-8209225	6714365-8510694-5501290	4216694-7453354-5089266	8545431-6333231-4310700	897854-4659321-6146664	343160-2052029-968258	8545431-6288965-9449996	5318000-1942379-8587539	6284580-7868457-7842631	6284580-7868457-4318381	4532714-2417269-3810960	1435029-8510694-5281302	2696826-108676-2017481	9911466-9053950-42695	1435029-7233856-5281302	0-2499299-743309	897854-1072182-797775	5798232-9678692-2336231	9911466-2870130-42695	6714365-9705592-788891	1191006-6965657-2514573	1191006-9705592-2514573	1254742-8061681-2627084	5522845-1072182-9189144	822372-1150875-6998979	1435029-8510694-526443	1435029-8510694-2018475	9513156-8510694-1862031	4067747-6288965-3083540	1075186-2184460-3555815	3413398-3091772-968258	9886415-3311849-8648485	0-1-7128160	1435029-8510694-1862031	269787-108676-0	1220271-8207062-9681654	4632056-7945483-8299767	1220271-650835-8298687	4806690-2870130-1630962	897854-1072182-256843	1075186-6047161-8209225	7168275-9154218-9681654	4-1994195-703574	2840663-4524451-4132168	676139-9705592-2493058	8545431-6590404-8181804	8545431-3604980-5291401	2840663-4524451-4	1284086-9089546-5089266	8545431-6288965-968258	1-6455090-4	269787-108676-1171550	0-9678692-600425	897854-9969307-2336231	2696826-108676-0	897854-4667641-1630962	2455021-1942379-50255	1075186-2184460-2672296	1075186-9016737-2672296	6714365-3442246-2079617	4384334-1083744-2871817	1435029-8510694-3153631	6714365-9705592-5163611	7767108-2870130-3260856	7168275-7021863-9681654	3-4-1189934	1-9790496-1714392	1435029-7285301-5393738	2840663-2989338-2626365	2543871-8377614-5394034	1435029-8510694-7900938	9201423-1008714-968258	9080445-6329970-5141763	8545431-6288965-7940204	1075186-3321461-8209225	3062268-108676-0	1075186-5354245-2672296	4063206-8061681-4335752	3156739-6288965-3538223	7492605-2169865-2660352	8756402-2169865-7243616	2696826-108676-8254043	4980104-1150875-6133724	4849662-191028-2105799	4432009-9705592-3523937	6114410-8510694-2079617	2674015-1576037-5354967	6714365-9705592-2147640	9648911-5954687-4	897854-1072182-2336231	4216694-7024882-5089266	6714365-9705592-5319962	6944865-9705592-1630962	2674015-6288965-2264725	2543871-1008714-9681654	6284580-2052029-968258	2674015-3649840-4255950	5494441-1942379-8587539	0-4040035-8776106	4806690-487922-1799719	5541391-1083744-2871817	1191006-9705592-2392963	1435029-8510694-9531812	0-2240355-3166472	9201423-1008714-160105	1435029-6776088-5281302	7285067-2052029-6912220	221814-8510694-6705499	4806690-487922-5552868	2674015-4066034-4255950	4216694-2399767-5420770	6714365-9705592-2468357	1075186-2184460-8209225	3095186-7945483-8299767	6517144-1072182-2359561	9033944-2907878-6785762	8492729-858166-0	4532714-2169865-7243616	8545431-6288965-2699336	5739271-7507663-2336231	3-2601615-9320653	6714365-5116473-6501711	9201423-9047755-9681654	8545431-6333231-2752298	6284580-7868457-968258	2840663-2989338-7744741	2623613-9091604-2302204	4806690-487922-1124166	1022472-5151982-600425	6714365-9705592-2392963	6284580-4833700-968258	2674015-3649840-3145540	1435029-7285301-8546352	1913796-487922-2156775	1388935-4659321-1630962	4991319-9705592-788891	3553321-1144036-1640648	1435029-9886088-5509873	4532714-8529769-7825832	6714365-2944132-1630962	9299479-4524451-4	7665231-8061681-5022862	889603-8510694-5501290	2472276-128457-4310700	9201423-3091772-3385572	1435029-8510694-3881847	2369676-2907878-1705337	2876679-9047755-9681654	1611197-6028945-3249937	8545431-1958682-2699336	4632056-6028945-8865003	149959-2057418-968258	4806690-1324694-9564906	897854-7607298-6704044	2004810-2870130-1630962	4532714-1391401-7825832	2840663-2989338-4521444	2852000-2907878-8209225	897854-5240252-6704044	3553321-9053950-3035278	2840663-2989338-4	6714365-380133-5781231	4632056-7945483-9374659	4984498-1942379-707928	8685686-8061681-8171772	5289116-1072182-797775	4632056-7107013-3249937	6760398-2184460-8209225	1191006-9705592-7266048	7767108-2870130-42695	696218-6288965-2699336	6426517-3095504-1171550	9330503-4-3663449	3-4-0	3835215-8061681-5022862	2840663-3477751-4521444	2054857-1008714-9681654	4-6493173-1	8756402-7333379-7243616	4984498-1942379-7833237	396275-2184460-5943309	1220271-7318794-8111567	8730013-5844315-1073585	897854-1552246-2336231	1251041-2907878-4246869	1-4524451-9842324	6284580-1865422-326636	7327167-8061681-5022862	9613976-9495564-4	7492605-9089546-5089266	6714365-9705592-1630962	4806690-5149693-1630962	5094400-1008714-968258	1435029-6849653-5281302	5095319-9709210-1630962	2303919-2399767-1326531	3312044-108676-0	3553321-9053950-1640648	3-8853471-3480928	6284580-2052029-6912220	6714365-7847325-6501711	897854-1072182-1606491	0-9678692-2336231	2840663-2989338-2668732	2840663-296019-1840201	7168275-650835-9681654	4632056-6028945-9977438	4460611-8510694-7900938	1933989-2169865-7243616

82	assemblage-930-382	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	6	0	19	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	101
82	assemblage-556-116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	125
82	assemblage-629-901	0	0	17	37	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	13	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86

83	assemblage-930-382	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	6	0	19	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	101
83	assemblage-556-116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	125
83	assemblage-945-379	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110

84	assemblage-930-382	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	6	0	19	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	101
84	assemblage-556-116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	125
84	assemblage-559-144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	17	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	109

