Seriation_Number	Assemblage	2360792-5305823-7547013	0-2-7337334	4-3-1510291	4-9340202-8936387	5210945-0-3	4-3944250-4810038	4-7553732-1	9802405-2-7547013	9802405-2-6571801	6724234-3-1	8619495-2013364-3	4-9340202-1	3-1-1	3-1-4	2360792-2-7547013	6976245-0-3	4-3482975-472840	0-2-7547013	3-1294754-2183660	1576605-3944250-1	5780676-3-1	4-616283-1	2429447-2-7547013	2429447-2-6194987	3-1-566233	2360792-2-4526558	9802405-2-4998215	4-4502967-3667418	0-2-9523934	4809495-3944250-1	7105522-3-1	475370-3-1	3-115231-1	4-3-472840	0-3790294-0	4-5355269-1	4-8868797-1	7510156-3944250-1	5411604-1-4	0-8015530-7547013	4-3-1	7538880-1-4	4-6868445-1	0-775327-0	6686582-0-3	2-2-4515931	8710643-3-1	3-1294754-3	0-2-2712705	2636946-1-4	3-1-3144214	4-2344739-1	7828636-1-4	4659831-2-7547013	7285524-0-3	2046220-2-7547013	2741708-4-0	0-9902069-0	3-1-3956948	8858772-3-1	4-9794214-1	4-2104721-1	4-7081410-8936387	4-4502967-1	3-0-3958791	4-8944327-1	4-3518914-8936387	4-3944250-3225844	4-6814844-1	0-6947770-0	4-2719419-1	4-7254032-1	4366051-3-1	4-9340202-4041807	8858772-3-8936568	3-1-897830	8410750-2-7547013	8422523-1-4	2360792-2-9011057	3-1-819813	4-7606999-1	3-1453310-4	4-3944250-1	4-9241980-7827879	3-0-3	7930051-1-4	6851434-1-4	4-3944250-8103614	4-5778968-1	2517373-5355269-1	4-9029251-1	4-3944250-783023
4	assemblage-610-1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	7	0	68	0	0	0	0	0	0	38	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	23

5	assemblage-791-235	0	0	0	0	0	0	0	0	0	0	0	0	0	33	10	0	0	0	0	0	0	0	2	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	45
5	assemblage-402-652	0	0	0	0	0	0	0	0	86	0	0	0	0	0	143	0	0	6	0	0	0	0	67	32	0	0	0	9	0	0	0	0	0	33	0	0	5	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
5	assemblage-610-1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	7	0	68	0	0	0	0	0	0	38	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	23

6	assemblage-386-638	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	5	0	0	0	0	6	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	52
6	assemblage-402-652	0	0	0	0	0	0	0	0	86	0	0	0	0	0	143	0	0	6	0	0	0	0	67	32	0	0	0	9	0	0	0	0	0	33	0	0	5	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
6	assemblage-610-1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	7	0	68	0	0	0	0	0	0	38	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	23

7	assemblage-386-638	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	5	0	0	0	0	6	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	52
7	assemblage-791-235	0	0	0	0	0	0	0	0	0	0	0	0	0	33	10	0	0	0	0	0	0	0	2	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	45
7	assemblage-976-554	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	20	0	24	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	54	0	0	0	0	0	0	34

8	assemblage-581-202	0	0	0	0	0	0	0	0	0	0	0	16	0	0	142	0	0	41	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	21	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
8	assemblage-791-235	0	0	0	0	0	0	0	0	0	0	0	0	0	33	10	0	0	0	0	0	0	0	2	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	45
8	assemblage-799-233	0	0	0	0	0	0	0	0	3	0	0	0	0	21	7	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	29

9	assemblage-536-366	0	0	0	0	0	0	0	0	0	0	0	0	0	54	44	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	20	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	14	0	0	0	0	0	0	27
9	assemblage-403-489	0	0	0	0	3	0	0	0	0	0	0	158	0	9	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	30	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	36	0	0	0	0	0	0	41
9	assemblage-610-1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	7	0	68	0	0	0	0	0	0	38	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	23

10	assemblage-536-366	0	0	0	0	0	0	0	0	0	0	0	0	0	54	44	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	20	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	14	0	0	0	0	0	0	27
10	assemblage-403-489	0	0	0	0	3	0	0	0	0	0	0	158	0	9	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	30	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	36	0	0	0	0	0	0	41
10	assemblage-976-554	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	20	0	24	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	54	0	0	0	0	0	0	34

11	assemblage-536-366	0	0	0	0	0	0	0	0	0	0	0	0	0	54	44	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	20	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	14	0	0	0	0	0	0	27
11	assemblage-791-235	0	0	0	0	0	0	0	0	0	0	0	0	0	33	10	0	0	0	0	0	0	0	2	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	45
11	assemblage-799-233	0	0	0	0	0	0	0	0	3	0	0	0	0	21	7	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	29

12	assemblage-341-816	0	0	0	0	0	0	0	0	0	0	0	11	0	135	86	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	95	0	0	0	6	9	0	0	0	24
12	assemblage-403-489	0	0	0	0	3	0	0	0	0	0	0	158	0	9	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	30	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	36	0	0	0	0	0	0	41
12	assemblage-610-1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	7	0	68	0	0	0	0	0	0	38	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	23

13	assemblage-341-816	0	0	0	0	0	0	0	0	0	0	0	11	0	135	86	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	95	0	0	0	6	9	0	0	0	24
13	assemblage-403-489	0	0	0	0	3	0	0	0	0	0	0	158	0	9	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	30	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	36	0	0	0	0	0	0	41
13	assemblage-976-554	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	20	0	24	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	54	0	0	0	0	0	0	34

14	assemblage-341-816	0	0	0	0	0	0	0	0	0	0	0	11	0	135	86	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	95	0	0	0	6	9	0	0	0	24
14	assemblage-400-509	0	0	0	0	0	0	0	0	0	0	0	15	0	127	80	0	0	88	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	95	0	0	0	14	5	0	0	0	19
14	assemblage-317-799	0	0	0	0	0	0	0	27	0	0	0	14	0	21	26	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	3	0	5	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	5	0	0	0	27	0	0	0	0	0	0	0	0	13

15	assemblage-341-816	0	0	0	0	0	0	0	0	0	0	0	11	0	135	86	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	95	0	0	0	6	9	0	0	0	24
15	assemblage-791-235	0	0	0	0	0	0	0	0	0	0	0	0	0	33	10	0	0	0	0	0	0	0	2	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	45
15	assemblage-799-233	0	0	0	0	0	0	0	0	3	0	0	0	0	21	7	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	29

16	assemblage-341-816	0	0	0	0	0	0	0	0	0	0	0	11	0	135	86	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	95	0	0	0	6	9	0	0	0	24
16	assemblage-581-202	0	0	0	0	0	0	0	0	0	0	0	16	0	0	142	0	0	41	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	21	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
16	assemblage-610-1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	7	0	68	0	0	0	0	0	0	38	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	23

17	assemblage-341-816	0	0	0	0	0	0	0	0	0	0	0	11	0	135	86	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	95	0	0	0	6	9	0	0	0	24
17	assemblage-536-366	0	0	0	0	0	0	0	0	0	0	0	0	0	54	44	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	20	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	14	0	0	0	0	0	0	27
17	assemblage-610-1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	7	0	68	0	0	0	0	0	0	38	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	23

18	assemblage-291-838	0	0	0	61	0	0	0	0	0	0	0	44	0	8	27	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	144	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	31	0	0	0	33
18	assemblage-791-235	0	0	0	0	0	0	0	0	0	0	0	0	0	33	10	0	0	0	0	0	0	0	2	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	45
18	assemblage-799-233	0	0	0	0	0	0	0	0	3	0	0	0	0	21	7	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	29

19	assemblage-291-838	0	0	0	61	0	0	0	0	0	0	0	44	0	8	27	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	144	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	31	0	0	0	33
19	assemblage-581-202	0	0	0	0	0	0	0	0	0	0	0	16	0	0	142	0	0	41	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	21	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
19	assemblage-407-640	0	0	0	0	0	0	0	0	100	0	0	6	0	0	121	0	0	0	0	0	0	0	59	37	0	0	0	0	0	0	0	0	0	18	0	0	7	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63

20	assemblage-291-838	0	0	0	61	0	0	0	0	0	0	0	44	0	8	27	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	144	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	31	0	0	0	33
20	assemblage-581-202	0	0	0	0	0	0	0	0	0	0	0	16	0	0	142	0	0	41	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	21	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
20	assemblage-610-1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	7	0	68	0	0	0	0	0	0	38	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	23

21	assemblage-291-838	0	0	0	61	0	0	0	0	0	0	0	44	0	8	27	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	144	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	31	0	0	0	33
21	assemblage-581-202	0	0	0	0	0	0	0	0	0	0	0	16	0	0	142	0	0	41	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	21	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
21	assemblage-402-652	0	0	0	0	0	0	0	0	86	0	0	0	0	0	143	0	0	6	0	0	0	0	67	32	0	0	0	9	0	0	0	0	0	33	0	0	5	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50

